(base) robertselwyn:src on main$ python3 new_cfr_50bb.py 
0
PRINTING HAND INFORMATION
-------- ITER 0 -------
/Users/robertselwyn/Desktop/Stanford/cs/cs238/final_proj/src/new_cfr_50bb.py:34: RuntimeWarning: divide by zero encountered in double_scalars
  display_results(expected_game_value / a, i_map)
player 1 expected value: inf
player 2 expected value: -inf

player 1 strategies:
2c2d rrb ['0.50', '0.50']
2c2d rrc ['0.50', '0.50']
2c3c rrb ['0.50', '0.50']
2c3c rrc ['0.50', '0.50']
2c3h rrb ['0.50', '0.50']
2c3h rrc ['0.50', '0.50']
2c4c rrb ['0.50', '0.50']
2c4c rrc ['0.50', '0.50']
2c4h rrb ['0.50', '0.50']
2c4h rrc ['0.50', '0.50']
2c5c rrb ['0.50', '0.50']
2c5c rrc ['0.50', '0.50']
2c5h rrb ['0.50', '0.50']
2c5h rrc ['0.50', '0.50']
2c6c rrb ['0.50', '0.50']
2c6c rrc ['0.50', '0.50']
2c6h rrb ['0.50', '0.50']
2c6h rrc ['0.50', '0.50']
2c7c rrb ['0.50', '0.50']
2c7c rrc ['0.50', '0.50']
2c7h rrb ['0.50', '0.50']
2c7h rrc ['0.50', '0.50']
2c8c rrb ['0.50', '0.50']
2c8c rrc ['0.50', '0.50']
2c8h rrb ['0.50', '0.50']
2c8h rrc ['0.50', '0.50']
2c9c rrb ['0.50', '0.50']
2c9c rrc ['0.50', '0.50']
2c9h rrb ['0.50', '0.50']
2c9h rrc ['0.50', '0.50']
2cAc rrb ['0.50', '0.50']
2cAc rrc ['0.50', '0.50']
2cAh rrb ['0.50', '0.50']
2cAh rrc ['0.50', '0.50']
2cJc rrb ['0.50', '0.50']
2cJc rrc ['0.50', '0.50']
2cJh rrb ['0.50', '0.50']
2cJh rrc ['0.50', '0.50']
2cKc rrb ['0.50', '0.50']
2cKc rrc ['0.50', '0.50']
2cKh rrb ['0.50', '0.50']
2cKh rrc ['0.50', '0.50']
2cQc rrb ['0.50', '0.50']
2cQc rrc ['0.50', '0.50']
2cQh rrb ['0.50', '0.50']
2cQh rrc ['0.50', '0.50']
2cTc rrb ['0.50', '0.50']
2cTc rrc ['0.50', '0.50']
2cTh rrb ['0.50', '0.50']
2cTh rrc ['0.50', '0.50']
2h2s rrb ['0.50', '0.50']
2h2s rrc ['0.50', '0.50']
2h3c rrb ['0.50', '0.50']
2h3c rrc ['0.50', '0.50']
2h3h rrb ['0.50', '0.50']
2h3h rrc ['0.50', '0.50']
2h3s rrb ['0.50', '0.50']
2h3s rrc ['0.50', '0.50']
2h4c rrb ['0.50', '0.50']
2h4c rrc ['0.50', '0.50']
2h4h rrb ['0.50', '0.50']
2h4h rrc ['0.50', '0.50']
2h4s rrb ['0.50', '0.50']
2h4s rrc ['0.50', '0.50']
2h5c rrb ['0.50', '0.50']
2h5c rrc ['0.50', '0.50']
2h5h rrb ['0.50', '0.50']
2h5h rrc ['0.50', '0.50']
2h5s rrb ['0.50', '0.50']
2h5s rrc ['0.50', '0.50']
2h6c rrb ['0.50', '0.50']
2h6c rrc ['0.50', '0.50']
2h6h rrb ['0.50', '0.50']
2h6h rrc ['0.50', '0.50']
2h6s rrb ['0.50', '0.50']
2h6s rrc ['0.50', '0.50']
2h7c rrb ['0.50', '0.50']
2h7c rrc ['0.50', '0.50']
2h7h rrb ['0.50', '0.50']
2h7h rrc ['0.50', '0.50']
2h7s rrb ['0.50', '0.50']
2h7s rrc ['0.50', '0.50']
2h8c rrb ['0.50', '0.50']
2h8c rrc ['0.50', '0.50']
2h8h rrb ['0.50', '0.50']
2h8h rrc ['0.50', '0.50']
2h8s rrb ['0.50', '0.50']
2h8s rrc ['0.50', '0.50']
2h9c rrb ['0.50', '0.50']
2h9c rrc ['0.50', '0.50']
2h9h rrb ['0.50', '0.50']
2h9h rrc ['0.50', '0.50']
2h9s rrb ['0.50', '0.50']
2h9s rrc ['0.50', '0.50']
2hAc rrb ['0.50', '0.50']
2hAc rrc ['0.50', '0.50']
2hAh rrb ['0.50', '0.50']
2hAh rrc ['0.50', '0.50']
2hAs rrb ['0.50', '0.50']
2hAs rrc ['0.50', '0.50']
2hJc rrb ['0.50', '0.50']
2hJc rrc ['0.50', '0.50']
2hJh rrb ['0.50', '0.50']
2hJh rrc ['0.50', '0.50']
2hJs rrb ['0.50', '0.50']
2hJs rrc ['0.50', '0.50']
2hKc rrb ['0.50', '0.50']
2hKc rrc ['0.50', '0.50']
2hKh rrb ['0.50', '0.50']
2hKh rrc ['0.50', '0.50']
2hKs rrb ['0.50', '0.50']
2hKs rrc ['0.50', '0.50']
2hQc rrb ['0.50', '0.50']
2hQc rrc ['0.50', '0.50']
2hQh rrb ['0.50', '0.50']
2hQh rrc ['0.50', '0.50']
2hQs rrb ['0.50', '0.50']
2hQs rrc ['0.50', '0.50']
2hTc rrb ['0.50', '0.50']
2hTc rrc ['0.50', '0.50']
2hTh rrb ['0.50', '0.50']
2hTh rrc ['0.50', '0.50']
2hTs rrb ['0.50', '0.50']
2hTs rrc ['0.50', '0.50']
2s2c rrb ['0.50', '0.50']
2s2c rrc ['0.50', '0.50']
2s3c rrb ['0.50', '0.50']
2s3c rrc ['0.50', '0.50']
2s3h rrb ['0.50', '0.50']
2s3h rrc ['0.50', '0.50']
2s3s rrb ['0.50', '0.50']
2s3s rrc ['0.50', '0.50']
2s4c rrb ['0.50', '0.50']
2s4c rrc ['0.50', '0.50']
2s4h rrb ['0.50', '0.50']
2s4h rrc ['0.50', '0.50']
2s4s rrb ['0.50', '0.50']
2s4s rrc ['0.50', '0.50']
2s5c rrb ['0.50', '0.50']
2s5c rrc ['0.50', '0.50']
2s5h rrb ['0.50', '0.50']
2s5h rrc ['0.50', '0.50']
2s5s rrb ['0.50', '0.50']
2s5s rrc ['0.50', '0.50']
2s6c rrb ['0.50', '0.50']
2s6c rrc ['0.50', '0.50']
2s6h rrb ['0.50', '0.50']
2s6h rrc ['0.50', '0.50']
2s6s rrb ['0.50', '0.50']
2s6s rrc ['0.50', '0.50']
2s7c rrb ['0.50', '0.50']
2s7c rrc ['0.50', '0.50']
2s7h rrb ['0.50', '0.50']
2s7h rrc ['0.50', '0.50']
2s7s rrb ['0.50', '0.50']
2s7s rrc ['0.50', '0.50']
2s8c rrb ['0.50', '0.50']
2s8c rrc ['0.50', '0.50']
2s8h rrb ['0.50', '0.50']
2s8h rrc ['0.50', '0.50']
2s8s rrb ['0.50', '0.50']
2s8s rrc ['0.50', '0.50']
2s9c rrb ['0.50', '0.50']
2s9c rrc ['0.50', '0.50']
2s9h rrb ['0.50', '0.50']
2s9h rrc ['0.50', '0.50']
2s9s rrb ['0.50', '0.50']
2s9s rrc ['0.50', '0.50']
2sAc rrb ['0.50', '0.50']
2sAc rrc ['0.50', '0.50']
2sAh rrb ['0.50', '0.50']
2sAh rrc ['0.50', '0.50']
2sAs rrb ['0.50', '0.50']
2sAs rrc ['0.50', '0.50']
2sJc rrb ['0.50', '0.50']
2sJc rrc ['0.50', '0.50']
2sJh rrb ['0.50', '0.50']
2sJh rrc ['0.50', '0.50']
2sJs rrb ['0.50', '0.50']
2sJs rrc ['0.50', '0.50']
2sKc rrb ['0.50', '0.50']
2sKc rrc ['0.50', '0.50']
2sKh rrb ['0.50', '0.50']
2sKh rrc ['0.50', '0.50']
2sKs rrb ['0.50', '0.50']
2sKs rrc ['0.50', '0.50']
2sQc rrb ['0.50', '0.50']
2sQc rrc ['0.50', '0.50']
2sQh rrb ['0.50', '0.50']
2sQh rrc ['0.50', '0.50']
2sQs rrb ['0.50', '0.50']
2sQs rrc ['0.50', '0.50']
2sTc rrb ['0.50', '0.50']
2sTc rrc ['0.50', '0.50']
2sTh rrb ['0.50', '0.50']
2sTh rrc ['0.50', '0.50']
2sTs rrb ['0.50', '0.50']
2sTs rrc ['0.50', '0.50']
3c3d rrb ['0.50', '0.50']
3c3d rrc ['0.50', '0.50']
3c4c rrb ['0.50', '0.50']
3c4c rrc ['0.50', '0.50']
3c4h rrb ['0.50', '0.50']
3c4h rrc ['0.50', '0.50']
3c5c rrb ['0.50', '0.50']
3c5c rrc ['0.50', '0.50']
3c5h rrb ['0.50', '0.50']
3c5h rrc ['0.50', '0.50']
3c6c rrb ['0.50', '0.50']
3c6c rrc ['0.50', '0.50']
3c6h rrb ['0.50', '0.50']
3c6h rrc ['0.50', '0.50']
3c7c rrb ['0.50', '0.50']
3c7c rrc ['0.50', '0.50']
3c7h rrb ['0.50', '0.50']
3c7h rrc ['0.50', '0.50']
3c8c rrb ['0.50', '0.50']
3c8c rrc ['0.50', '0.50']
3c8h rrb ['0.50', '0.50']
3c8h rrc ['0.50', '0.50']
3c9c rrb ['0.50', '0.50']
3c9c rrc ['0.50', '0.50']
3c9h rrb ['0.50', '0.50']
3c9h rrc ['0.50', '0.50']
3cAc rrb ['0.50', '0.50']
3cAc rrc ['0.50', '0.50']
3cAh rrb ['0.50', '0.50']
3cAh rrc ['0.50', '0.50']
3cJc rrb ['0.50', '0.50']
3cJc rrc ['0.50', '0.50']
3cJh rrb ['0.50', '0.50']
3cJh rrc ['0.50', '0.50']
3cKc rrb ['0.50', '0.50']
3cKc rrc ['0.50', '0.50']
3cKh rrb ['0.50', '0.50']
3cKh rrc ['0.50', '0.50']
3cQc rrb ['0.50', '0.50']
3cQc rrc ['0.50', '0.50']
3cQh rrb ['0.50', '0.50']
3cQh rrc ['0.50', '0.50']
3cTc rrb ['0.50', '0.50']
3cTc rrc ['0.50', '0.50']
3cTh rrb ['0.50', '0.50']
3cTh rrc ['0.50', '0.50']
3h3c rrb ['0.50', '0.50']
3h3c rrc ['0.50', '0.50']
3h3s rrb ['0.50', '0.50']
3h3s rrc ['0.50', '0.50']
3h4c rrb ['0.50', '0.50']
3h4c rrc ['0.50', '0.50']
3h4h rrb ['0.50', '0.50']
3h4h rrc ['0.50', '0.50']
3h4s rrb ['0.50', '0.50']
3h4s rrc ['0.50', '0.50']
3h5c rrb ['0.50', '0.50']
3h5c rrc ['0.50', '0.50']
3h5h rrb ['0.50', '0.50']
3h5h rrc ['0.50', '0.50']
3h5s rrb ['0.50', '0.50']
3h5s rrc ['0.50', '0.50']
3h6c rrb ['0.50', '0.50']
3h6c rrc ['0.50', '0.50']
3h6h rrb ['0.50', '0.50']
3h6h rrc ['0.50', '0.50']
